id,LST,NDVI,IBI,MNDWI
0,39.40906,0.54235,-0.11570,-0.42295
1,36.36639,0.58471,-0.09169,-0.45279
2,32.58897,-0.07039,-0.15250,0.33033
3,41.70393,0.32306,-0.08670,-0.23359
4,31.54074,-0.09610,-0.14656,0.35042
5,46.85480,0.16993,0.05656,-0.31935
6,41.66842,0.58582,-0.11779,-0.45501
7,40.46561,0.55696,-0.09691,-0.45548
8,37.16269,0.76850,-0.28586,-0.44193
9,41.57021,0.48394,-0.02049,-0.48324
10,39.04248,0.62143,-0.12053,-0.47358
11,41.53510,0.33835,0.07842,-0.50778
12,36.14501,0.65814,-0.20926,-0.37884
13,38.69575,0.59790,-0.09679,-0.47862
14,38.52095,0.56600,-0.13557,-0.41862
15,42.01593,0.39484,0.02659,-0.48631
16,38.16328,0.57147,-0.07663,-0.48447
17,39.42413,0.58913,-0.13250,-0.42458
18,35.94608,0.71937,-0.30152,-0.35714
19,39.77085,0.55774,-0.09769,-0.45616
20,43.43482,0.30984,0.01641,-0.37031
21,40.36831,0.16748,-0.04505,-0.09290
22,39.36055,0.62477,-0.17566,-0.41155
23,35.01142,0.19609,-0.13962,-0.01912
24,39.30948,0.70326,-0.22056,-0.43701
25,37.76965,0.67425,-0.18969,-0.43106
26,40.27238,0.29171,0.05611,-0.41237
27,43.41455,0.41265,-0.02237,-0.38909
28,39.62275,0.50090,-0.09745,-0.39630
29,47.59669,0.15107,0.05731,-0.28999
30,38.45451,0.68739,-0.21486,-0.40654
31,51.53469,0.15092,0.09839,-0.34573
32,37.34384,0.47529,-0.03568,-0.44460
33,38.99939,0.39241,-0.00005,-0.42558
34,32.97203,-0.01488,-0.20964,0.35484
35,31.54881,-0.06486,-0.15817,0.34186
36,37.80924,0.59598,-0.12938,-0.44323
37,39.62132,0.56692,-0.09660,-0.44815
38,46.29324,0.21449,0.08035,-0.37450
39,39.57415,0.58273,-0.10290,-0.45202
40,43.01825,0.43103,0.01569,-0.48836
41,41.87874,0.49903,-0.04272,-0.46468
42,37.35777,0.43897,-0.09482,-0.34113
43,43.11399,0.51812,-0.11796,-0.38658
44,39.50654,0.47554,-0.07226,-0.42528
45,32.95621,-0.01895,-0.24867,0.40583
46,41.94891,0.43732,0.05895,-0.53943
47,31.54946,-0.10531,-0.24044,0.47519
48,38.27132,0.63859,-0.14144,-0.47388
49,41.63462,0.45430,-0.05425,-0.41119
50,39.77458,0.51945,-0.07338,-0.44319
51,35.09506,-0.00730,-0.28497,0.42679
52,43.93348,0.30450,0.02610,-0.38070
53,31.91418,-0.08753,-0.32675,0.56134
54,40.53907,0.20215,0.03970,-0.21932
55,38.45478,0.66243,-0.19382,-0.42158
56,38.78388,0.70703,-0.22800,-0.44633
57,37.63448,0.60474,-0.18806,-0.34954
58,42.26250,0.30314,0.04373,-0.41273
59,39.00733,0.62791,-0.10874,-0.49412
60,38.27875,0.64584,-0.15195,-0.46080
